serie,region,anio,valor
mpd2020-pib-per-capita-mapa-pre1820,ARG,1800,1484
mpd2020-pib-per-capita-mapa-pre1820,BEL,1,956
mpd2020-pib-per-capita-mapa-pre1820,BEL,1500,2338
mpd2020-pib-per-capita-mapa-pre1820,BEL,1550,2410
mpd2020-pib-per-capita-mapa-pre1820,BEL,1600,2533
mpd2020-pib-per-capita-mapa-pre1820,BEL,1650,2303
mpd2020-pib-per-capita-mapa-pre1820,BEL,1700,2192
mpd2020-pib-per-capita-mapa-pre1820,BEL,1750,2169
mpd2020-pib-per-capita-mapa-pre1820,BEL,1812,2358
mpd2020-pib-per-capita-mapa-pre1820,BRA,1800,867
mpd2020-pib-per-capita-mapa-pre1820,CHE,1,956
mpd2020-pib-per-capita-mapa-pre1820,CHL,1800,853
mpd2020-pib-per-capita-mapa-pre1820,CHL,1810,853
mpd2020-pib-per-capita-mapa-pre1820,CHL,1811,815
mpd2020-pib-per-capita-mapa-pre1820,CHL,1812,802
mpd2020-pib-per-capita-mapa-pre1820,CHL,1813,808
mpd2020-pib-per-capita-mapa-pre1820,CHL,1814,813
mpd2020-pib-per-capita-mapa-pre1820,CHL,1815,816
mpd2020-pib-per-capita-mapa-pre1820,CHL,1816,789
mpd2020-pib-per-capita-mapa-pre1820,CHL,1817,781
mpd2020-pib-per-capita-mapa-pre1820,CHL,1818,822
mpd2020-pib-per-capita-mapa-pre1820,CHL,1819,787
mpd2020-pib-per-capita-mapa-pre1820,CHN,1000,1225.107
mpd2020-pib-per-capita-mapa-pre1820,CHN,1090,1221.711
mpd2020-pib-per-capita-mapa-pre1820,CHN,1120,1180.959
mpd2020-pib-per-capita-mapa-pre1820,CHN,1400,1404.246
mpd2020-pib-per-capita-mapa-pre1820,CHN,1410,1414
mpd2020-pib-per-capita-mapa-pre1820,CHN,1420,1412
mpd2020-pib-per-capita-mapa-pre1820,CHN,1430,1498
mpd2020-pib-per-capita-mapa-pre1820,CHN,1440,1458
mpd2020-pib-per-capita-mapa-pre1820,CHN,1450,1375.38
mpd2020-pib-per-capita-mapa-pre1820,CHN,1460,1324
mpd2020-pib-per-capita-mapa-pre1820,CHN,1470,1341
mpd2020-pib-per-capita-mapa-pre1820,CHN,1480,1242
mpd2020-pib-per-capita-mapa-pre1820,CHN,1490,1189
mpd2020-pib-per-capita-mapa-pre1820,CHN,1500,1207.278
mpd2020-pib-per-capita-mapa-pre1820,CHN,1510,1274
mpd2020-pib-per-capita-mapa-pre1820,CHN,1520,1166
mpd2020-pib-per-capita-mapa-pre1820,CHN,1530,1187
mpd2020-pib-per-capita-mapa-pre1820,CHN,1540,1193
mpd2020-pib-per-capita-mapa-pre1820,CHN,1550,1195
mpd2020-pib-per-capita-mapa-pre1820,CHN,1560,1200
mpd2020-pib-per-capita-mapa-pre1820,CHN,1570,1237.842
mpd2020-pib-per-capita-mapa-pre1820,CHN,1580,1217
mpd2020-pib-per-capita-mapa-pre1820,CHN,1590,1217
mpd2020-pib-per-capita-mapa-pre1820,CHN,1600,1217.466
mpd2020-pib-per-capita-mapa-pre1820,CHN,1610,1282
mpd2020-pib-per-capita-mapa-pre1820,CHN,1620,1262
mpd2020-pib-per-capita-mapa-pre1820,CHN,1661,1330
mpd2020-pib-per-capita-mapa-pre1820,CHN,1685,1280
mpd2020-pib-per-capita-mapa-pre1820,CHN,1690,1413
mpd2020-pib-per-capita-mapa-pre1820,CHN,1700,1542.633
mpd2020-pib-per-capita-mapa-pre1820,CHN,1710,1406
mpd2020-pib-per-capita-mapa-pre1820,CHN,1720,1312
mpd2020-pib-per-capita-mapa-pre1820,CHN,1724,1170
mpd2020-pib-per-capita-mapa-pre1820,CHN,1730,1234
mpd2020-pib-per-capita-mapa-pre1820,CHN,1740,1158
mpd2020-pib-per-capita-mapa-pre1820,CHN,1750,1061.25
mpd2020-pib-per-capita-mapa-pre1820,CHN,1760,1022
mpd2020-pib-per-capita-mapa-pre1820,CHN,1766,991
mpd2020-pib-per-capita-mapa-pre1820,CHN,1770,998
mpd2020-pib-per-capita-mapa-pre1820,CHN,1780,981
mpd2020-pib-per-capita-mapa-pre1820,CHN,1790,955
mpd2020-pib-per-capita-mapa-pre1820,CHN,1800,926.259
mpd2020-pib-per-capita-mapa-pre1820,CHN,1810,901
mpd2020-pib-per-capita-mapa-pre1820,COL,1800,942
mpd2020-pib-per-capita-mapa-pre1820,CUB,1690,295
mpd2020-pib-per-capita-mapa-pre1820,CUB,1750,481
mpd2020-pib-per-capita-mapa-pre1820,CUB,1775,526
mpd2020-pib-per-capita-mapa-pre1820,CUB,1792,579
mpd2020-pib-per-capita-mapa-pre1820,DEU,1500,1827
mpd2020-pib-per-capita-mapa-pre1820,DEU,1600,1286
mpd2020-pib-per-capita-mapa-pre1820,DEU,1650,1511
mpd2020-pib-per-capita-mapa-pre1820,DEU,1700,1497
mpd2020-pib-per-capita-mapa-pre1820,DEU,1750,1674
mpd2020-pib-per-capita-mapa-pre1820,DEU,1800,1572
mpd2020-pib-per-capita-mapa-pre1820,EGY,1,1116
mpd2020-pib-per-capita-mapa-pre1820,EGY,730,1164
mpd2020-pib-per-capita-mapa-pre1820,EGY,1000,956
mpd2020-pib-per-capita-mapa-pre1820,EGY,1120,1052
mpd2020-pib-per-capita-mapa-pre1820,EGY,1280,1068
mpd2020-pib-per-capita-mapa-pre1820,EGY,1300,972
mpd2020-pib-per-capita-mapa-pre1820,EGY,1400,1164
mpd2020-pib-per-capita-mapa-pre1820,EGY,1500,1084
mpd2020-pib-per-capita-mapa-pre1820,ESP,1,886
mpd2020-pib-per-capita-mapa-pre1820,ESP,1285,1501.08
mpd2020-pib-per-capita-mapa-pre1820,ESP,1295,1518.95
mpd2020-pib-per-capita-mapa-pre1820,ESP,1305,1501.08
mpd2020-pib-per-capita-mapa-pre1820,ESP,1315,1483.21
mpd2020-pib-per-capita-mapa-pre1820,ESP,1325,1429.6
mpd2020-pib-per-capita-mapa-pre1820,ESP,1335,1572.56
mpd2020-pib-per-capita-mapa-pre1820,ESP,1345,1608.3
mpd2020-pib-per-capita-mapa-pre1820,ESP,1355,1465.34
mpd2020-pib-per-capita-mapa-pre1820,ESP,1365,1411.73
mpd2020-pib-per-capita-mapa-pre1820,ESP,1375,1286.64
mpd2020-pib-per-capita-mapa-pre1820,ESP,1385,1304.51
mpd2020-pib-per-capita-mapa-pre1820,ESP,1395,1358.12
mpd2020-pib-per-capita-mapa-pre1820,ESP,1404,1375.99
mpd2020-pib-per-capita-mapa-pre1820,ESP,1415,1375.99
mpd2020-pib-per-capita-mapa-pre1820,ESP,1425,1375.99
mpd2020-pib-per-capita-mapa-pre1820,ESP,1435,1411.73
mpd2020-pib-per-capita-mapa-pre1820,ESP,1445,1358.12
mpd2020-pib-per-capita-mapa-pre1820,ESP,1455,1393.86
mpd2020-pib-per-capita-mapa-pre1820,ESP,1465,1340.25
mpd2020-pib-per-capita-mapa-pre1820,ESP,1475,1304.51
mpd2020-pib-per-capita-mapa-pre1820,ESP,1485,1375.99
mpd2020-pib-per-capita-mapa-pre1820,ESP,1495,1411.73
mpd2020-pib-per-capita-mapa-pre1820,ESP,1505,1393.86
mpd2020-pib-per-capita-mapa-pre1820,ESP,1515,1447.47
mpd2020-pib-per-capita-mapa-pre1820,ESP,1525,1393.86
mpd2020-pib-per-capita-mapa-pre1820,ESP,1535,1465.34
mpd2020-pib-per-capita-mapa-pre1820,ESP,1545,1429.6
mpd2020-pib-per-capita-mapa-pre1820,ESP,1555,1518.95
mpd2020-pib-per-capita-mapa-pre1820,ESP,1565,1483.21
mpd2020-pib-per-capita-mapa-pre1820,ESP,1575,1554.69
mpd2020-pib-per-capita-mapa-pre1820,ESP,1585,1536.82
mpd2020-pib-per-capita-mapa-pre1820,ESP,1595,1554.69
mpd2020-pib-per-capita-mapa-pre1820,ESP,1605,1465.34
mpd2020-pib-per-capita-mapa-pre1820,ESP,1615,1447.47
mpd2020-pib-per-capita-mapa-pre1820,ESP,1625,1393.86
