serie,region,anio,valor
mpd2020-pib-per-capita-mapa,AFG,1950,1156
mpd2020-pib-per-capita-mapa,AFG,1951,1170
mpd2020-pib-per-capita-mapa,AFG,1952,1189
mpd2020-pib-per-capita-mapa,AFG,1953,1240
mpd2020-pib-per-capita-mapa,AFG,1954,1245
mpd2020-pib-per-capita-mapa,AFG,1955,1246
mpd2020-pib-per-capita-mapa,AFG,1956,1278
mpd2020-pib-per-capita-mapa,AFG,1957,1253
mpd2020-pib-per-capita-mapa,AFG,1958,1298
mpd2020-pib-per-capita-mapa,AFG,1959,1307
mpd2020-pib-per-capita-mapa,AFG,1960,1326
mpd2020-pib-per-capita-mapa,AFG,1961,1309
mpd2020-pib-per-capita-mapa,AFG,1962,1302
mpd2020-pib-per-capita-mapa,AFG,1963,1298
mpd2020-pib-per-capita-mapa,AFG,1964,1291
mpd2020-pib-per-capita-mapa,AFG,1965,1290
mpd2020-pib-per-capita-mapa,AFG,1966,1272
mpd2020-pib-per-capita-mapa,AFG,1967,1277
mpd2020-pib-per-capita-mapa,AFG,1968,1290
mpd2020-pib-per-capita-mapa,AFG,1969,1278
mpd2020-pib-per-capita-mapa,AFG,1970,1272
mpd2020-pib-per-capita-mapa,AFG,1971,1237
mpd2020-pib-per-capita-mapa,AFG,1972,1007
mpd2020-pib-per-capita-mapa,AFG,1973,1011
mpd2020-pib-per-capita-mapa,AFG,1974,1039
mpd2020-pib-per-capita-mapa,AFG,1975,1074
mpd2020-pib-per-capita-mapa,AFG,1976,1105
mpd2020-pib-per-capita-mapa,AFG,1977,1022
mpd2020-pib-per-capita-mapa,AFG,1978,1070
mpd2020-pib-per-capita-mapa,AFG,1979,1023
mpd2020-pib-per-capita-mapa,AFG,1980,1019
mpd2020-pib-per-capita-mapa,AFG,1981,1144
mpd2020-pib-per-capita-mapa,AFG,1982,1270
mpd2020-pib-per-capita-mapa,AFG,1983,1347
mpd2020-pib-per-capita-mapa,AFG,1984,1337
mpd2020-pib-per-capita-mapa,AFG,1985,1304
mpd2020-pib-per-capita-mapa,AFG,1986,1344
mpd2020-pib-per-capita-mapa,AFG,1987,1211
mpd2020-pib-per-capita-mapa,AFG,1988,1101
mpd2020-pib-per-capita-mapa,AFG,1989,999
mpd2020-pib-per-capita-mapa,AFG,1990,963
mpd2020-pib-per-capita-mapa,AFG,1991,881.1704
mpd2020-pib-per-capita-mapa,AFG,1992,843.8753
mpd2020-pib-per-capita-mapa,AFG,1993,578.4027
mpd2020-pib-per-capita-mapa,AFG,1994,428.4246
mpd2020-pib-per-capita-mapa,AFG,1995,632.9404
mpd2020-pib-per-capita-mapa,AFG,1996,600.1753
mpd2020-pib-per-capita-mapa,AFG,1997,570.5981
mpd2020-pib-per-capita-mapa,AFG,1998,545.0388
mpd2020-pib-per-capita-mapa,AFG,1999,518.6579
mpd2020-pib-per-capita-mapa,AFG,2000,502.3727
mpd2020-pib-per-capita-mapa,AFG,2001,489.682
mpd2020-pib-per-capita-mapa,AFG,2002,796.8166
mpd2020-pib-per-capita-mapa,AFG,2003,842.8052
mpd2020-pib-per-capita-mapa,AFG,2004,869.0393
mpd2020-pib-per-capita-mapa,AFG,2005,964.4081
mpd2020-pib-per-capita-mapa,AFG,2006,1057.0966
