serie,region,anio,valor
mpd2020-pib-per-capita-paises-pre1820,argentina,1800,1484
mpd2020-pib-per-capita-paises-pre1820,brasil,1800,867
mpd2020-pib-per-capita-paises-pre1820,china,1000,1225.107
mpd2020-pib-per-capita-paises-pre1820,china,1090,1221.711
mpd2020-pib-per-capita-paises-pre1820,china,1120,1180.959
mpd2020-pib-per-capita-paises-pre1820,china,1400,1404.246
mpd2020-pib-per-capita-paises-pre1820,china,1410,1414
mpd2020-pib-per-capita-paises-pre1820,china,1420,1412
mpd2020-pib-per-capita-paises-pre1820,china,1430,1498
mpd2020-pib-per-capita-paises-pre1820,china,1440,1458
mpd2020-pib-per-capita-paises-pre1820,china,1450,1375.38
mpd2020-pib-per-capita-paises-pre1820,china,1460,1324
mpd2020-pib-per-capita-paises-pre1820,china,1470,1341
mpd2020-pib-per-capita-paises-pre1820,china,1480,1242
mpd2020-pib-per-capita-paises-pre1820,china,1490,1189
mpd2020-pib-per-capita-paises-pre1820,china,1500,1207.278
mpd2020-pib-per-capita-paises-pre1820,china,1510,1274
mpd2020-pib-per-capita-paises-pre1820,china,1520,1166
mpd2020-pib-per-capita-paises-pre1820,china,1530,1187
mpd2020-pib-per-capita-paises-pre1820,china,1540,1193
mpd2020-pib-per-capita-paises-pre1820,china,1550,1195
mpd2020-pib-per-capita-paises-pre1820,china,1560,1200
mpd2020-pib-per-capita-paises-pre1820,china,1570,1237.842
mpd2020-pib-per-capita-paises-pre1820,china,1580,1217
mpd2020-pib-per-capita-paises-pre1820,china,1590,1217
mpd2020-pib-per-capita-paises-pre1820,china,1600,1217.466
mpd2020-pib-per-capita-paises-pre1820,china,1610,1282
mpd2020-pib-per-capita-paises-pre1820,china,1620,1262
mpd2020-pib-per-capita-paises-pre1820,china,1661,1330
mpd2020-pib-per-capita-paises-pre1820,china,1685,1280
mpd2020-pib-per-capita-paises-pre1820,china,1690,1413
mpd2020-pib-per-capita-paises-pre1820,china,1700,1542.633
mpd2020-pib-per-capita-paises-pre1820,china,1710,1406
mpd2020-pib-per-capita-paises-pre1820,china,1720,1312
mpd2020-pib-per-capita-paises-pre1820,china,1724,1170
mpd2020-pib-per-capita-paises-pre1820,china,1730,1234
mpd2020-pib-per-capita-paises-pre1820,china,1740,1158
mpd2020-pib-per-capita-paises-pre1820,china,1750,1061.25
mpd2020-pib-per-capita-paises-pre1820,china,1760,1022
mpd2020-pib-per-capita-paises-pre1820,china,1766,991
mpd2020-pib-per-capita-paises-pre1820,china,1770,998
mpd2020-pib-per-capita-paises-pre1820,china,1780,981
mpd2020-pib-per-capita-paises-pre1820,china,1790,955
mpd2020-pib-per-capita-paises-pre1820,china,1800,926.259
mpd2020-pib-per-capita-paises-pre1820,china,1810,901
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1000,1151
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1252,1320
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1253,1328
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1254,1317
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1255,1285
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1256,1255
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1257,1240
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1258,1418
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1259,1191
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1260,1292
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1261,1286
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1262,1219
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1263,1205
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1264,1182
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1265,1185
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1266,1401
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1267,1313
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1268,1211
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1269,1225
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1270,1192
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1271,1177
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1272,1220
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1273,1149
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1274,1143
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1275,1304
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1276,1146
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1277,1222
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1278,1265
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1279,1048
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1280,1058
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1281,1118
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1282,1078
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1283,1019
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1284,1048
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1285,1055
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1286,1034
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1287,1125
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1288,1085
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1289,995
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1290,1004
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1291,1006
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1292,1060
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1293,1086
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1294,1078
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1295,1155
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1296,1202
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1297,1151
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1298,1211
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1299,1167
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1300,1159
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1301,1168
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1302,1199
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1303,1249
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1304,1130
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1305,1162
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1306,1129
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1307,1184
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1308,1199
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1309,1229
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1310,1213
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1311,1257
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1312,1224
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1313,1246
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1314,1247
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1315,1121
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1316,1072
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1317,1136
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1318,1270
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1319,1292
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1320,1266
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1321,1085
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1322,1156
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1323,1215
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1324,1122
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1325,1230
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1326,1245
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1327,1222
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1328,1135
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1329,1193
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1330,1161
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1331,1106
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1332,1163
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1333,1197
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1334,1156
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1335,1107
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1336,1159
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1337,1283
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1338,1307
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1339,1066
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1340,1194
mpd2020-pib-per-capita-paises-pre1820,reino-unido,1341,1205
