serie,region,anio,valor
mpd2020-pib-per-capita-paises,argentina,1820,1591
mpd2020-pib-per-capita-paises,argentina,1850,1994
mpd2020-pib-per-capita-paises,argentina,1860,2160
mpd2020-pib-per-capita-paises,argentina,1870,2340
mpd2020-pib-per-capita-paises,argentina,1875,2606
mpd2020-pib-per-capita-paises,argentina,1876,2611
mpd2020-pib-per-capita-paises,argentina,1877,2820
mpd2020-pib-per-capita-paises,argentina,1878,2619
mpd2020-pib-per-capita-paises,argentina,1879,2664
mpd2020-pib-per-capita-paises,argentina,1880,2557
mpd2020-pib-per-capita-paises,argentina,1881,2541
mpd2020-pib-per-capita-paises,argentina,1882,3108
mpd2020-pib-per-capita-paises,argentina,1883,3373
mpd2020-pib-per-capita-paises,argentina,1884,3486
mpd2020-pib-per-capita-paises,argentina,1885,3904
mpd2020-pib-per-capita-paises,argentina,1886,3771
mpd2020-pib-per-capita-paises,argentina,1887,3841
mpd2020-pib-per-capita-paises,argentina,1888,4219
mpd2020-pib-per-capita-paises,argentina,1889,4288
mpd2020-pib-per-capita-paises,argentina,1890,3851
mpd2020-pib-per-capita-paises,argentina,1891,3631
mpd2020-pib-per-capita-paises,argentina,1892,4251
mpd2020-pib-per-capita-paises,argentina,1893,4409
mpd2020-pib-per-capita-paises,argentina,1894,4968
mpd2020-pib-per-capita-paises,argentina,1895,5384
mpd2020-pib-per-capita-paises,argentina,1896,5716
mpd2020-pib-per-capita-paises,argentina,1897,4500
mpd2020-pib-per-capita-paises,argentina,1898,4741
mpd2020-pib-per-capita-paises,argentina,1899,5412
mpd2020-pib-per-capita-paises,argentina,1900,4583
mpd2020-pib-per-capita-paises,argentina,1901,4591
mpd2020-pib-per-capita-paises,argentina,1902,4331
mpd2020-pib-per-capita-paises,argentina,1903,4769
mpd2020-pib-per-capita-paises,argentina,1904,5086
mpd2020-pib-per-capita-paises,argentina,1905,5545
mpd2020-pib-per-capita-paises,argentina,1906,5608
mpd2020-pib-per-capita-paises,argentina,1907,5514
