serie,region,anio,valor
mpd2020-pib-per-capita-regiones,europa-occidental,1820,2306.96669
mpd2020-pib-per-capita-regiones,europa-oriental,1820,818
mpd2020-pib-per-capita-regiones,america-del-norte,1820,2513.045418
mpd2020-pib-per-capita-regiones,america-latina,1820,952.816821
mpd2020-pib-per-capita-regiones,asia-oriental,1820,1088.584951
mpd2020-pib-per-capita-regiones,asia-meridional,1820,929
mpd2020-pib-per-capita-regiones,asia-occidental-y-norte-de-africa,1820,974
mpd2020-pib-per-capita-regiones,africa-subsahariana,1820,800
mpd2020-pib-per-capita-regiones,europa-occidental,1830,2384.314573
mpd2020-pib-per-capita-regiones,europa-oriental,1830,942
mpd2020-pib-per-capita-regiones,europa-occidental,1840,2579.534884
mpd2020-pib-per-capita-regiones,europa-oriental,1840,907
mpd2020-pib-per-capita-regiones,europa-occidental,1850,2678
mpd2020-pib-per-capita-regiones,europa-oriental,1850,985
mpd2020-pib-per-capita-regiones,america-del-norte,1850,3474.410149
mpd2020-pib-per-capita-regiones,america-latina,1850,1080.657319
mpd2020-pib-per-capita-regiones,asia-oriental,1850,899.657658
mpd2020-pib-per-capita-regiones,asia-meridional,1850,929
mpd2020-pib-per-capita-regiones,asia-occidental-y-norte-de-africa,1850,1000
mpd2020-pib-per-capita-regiones,africa-subsahariana,1850,800
mpd2020-pib-per-capita-regiones,europa-occidental,1860,3034
mpd2020-pib-per-capita-regiones,europa-oriental,1860,1358
mpd2020-pib-per-capita-regiones,america-del-norte,1860,4214.440703
mpd2020-pib-per-capita-regiones,america-latina,1860,1588
mpd2020-pib-per-capita-regiones,europa-occidental,1870,3301.304919
mpd2020-pib-per-capita-regiones,europa-oriental,1870,1575
mpd2020-pib-per-capita-regiones,america-del-norte,1870,4647.453901
mpd2020-pib-per-capita-regiones,america-latina,1870,1318.541091
mpd2020-pib-per-capita-regiones,asia-oriental,1870,989.477165
mpd2020-pib-per-capita-regiones,asia-meridional,1870,850.346572
mpd2020-pib-per-capita-regiones,asia-occidental-y-norte-de-africa,1870,1165
mpd2020-pib-per-capita-regiones,africa-subsahariana,1870,800
mpd2020-pib-per-capita-regiones,europa-occidental,1880,3585.154363
mpd2020-pib-per-capita-regiones,europa-oriental,1880,1886
mpd2020-pib-per-capita-regiones,america-del-norte,1880,6019.123928
mpd2020-pib-per-capita-regiones,europa-occidental,1890,4079.313847
mpd2020-pib-per-capita-regiones,europa-oriental,1890,2204
mpd2020-pib-per-capita-regiones,america-del-norte,1890,6480.955612
mpd2020-pib-per-capita-regiones,america-latina,1890,1672.812962
mpd2020-pib-per-capita-regiones,asia-meridional,1890,950.999236
mpd2020-pib-per-capita-regiones,europa-occidental,1900,4724.295785
mpd2020-pib-per-capita-regiones,europa-oriental,1900,2700
mpd2020-pib-per-capita-regiones,america-del-norte,1900,7740.850451
mpd2020-pib-per-capita-regiones,america-latina,1900,1750.626743
mpd2020-pib-per-capita-regiones,asia-oriental,1900,1086.328445
mpd2020-pib-per-capita-regiones,asia-meridional,1900,994.419007
mpd2020-pib-per-capita-regiones,asia-occidental-y-norte-de-africa,1900,1300
mpd2020-pib-per-capita-regiones,africa-subsahariana,1900,850
mpd2020-pib-per-capita-regiones,europa-occidental,1910,5134.759064
mpd2020-pib-per-capita-regiones,europa-oriental,1910,2282.571503
mpd2020-pib-per-capita-regiones,america-del-norte,1910,9354.690921
mpd2020-pib-per-capita-regiones,america-latina,1910,2193.539665
mpd2020-pib-per-capita-regiones,asia-meridional,1910,1143.117595
mpd2020-pib-per-capita-regiones,europa-occidental,1920,4883.538885
mpd2020-pib-per-capita-regiones,europa-oriental,1920,1342.734619
mpd2020-pib-per-capita-regiones,america-del-norte,1920,9741.422761
mpd2020-pib-per-capita-regiones,america-latina,1920,2330.639937
mpd2020-pib-per-capita-regiones,asia-oriental,1920,1160
mpd2020-pib-per-capita-regiones,asia-meridional,1920,1116.831831
mpd2020-pib-per-capita-regiones,asia-occidental-y-norte-de-africa,1920,900
mpd2020-pib-per-capita-regiones,africa-subsahariana,1920,950
mpd2020-pib-per-capita-regiones,europa-occidental,1930,6409.105519
mpd2020-pib-per-capita-regiones,europa-oriental,1930,2463.720378
mpd2020-pib-per-capita-regiones,america-del-norte,1930,10297.12316
mpd2020-pib-per-capita-regiones,america-latina,1930,2700.039452
mpd2020-pib-per-capita-regiones,asia-oriental,1930,1272.979243
