serie,region,anio,valor
pwt100-apertura-comercial-paises,argentina,1950,18.296257
pwt100-apertura-comercial-paises,argentina,1951,17.527384
pwt100-apertura-comercial-paises,argentina,1952,13.622633
pwt100-apertura-comercial-paises,argentina,1953,14.84938
pwt100-apertura-comercial-paises,argentina,1954,16.011851
pwt100-apertura-comercial-paises,argentina,1955,14.893451
pwt100-apertura-comercial-paises,argentina,1956,15.149452
pwt100-apertura-comercial-paises,argentina,1957,15.407475
pwt100-apertura-comercial-paises,argentina,1958,14.206703
pwt100-apertura-comercial-paises,argentina,1959,14.9305
pwt100-apertura-comercial-paises,argentina,1960,15.468066
pwt100-apertura-comercial-paises,argentina,1961,14.411471
pwt100-apertura-comercial-paises,argentina,1962,16.634279
pwt100-apertura-comercial-paises,argentina,1963,15.547174
pwt100-apertura-comercial-paises,argentina,1964,15.742461
pwt100-apertura-comercial-paises,argentina,1965,14.970402
pwt100-apertura-comercial-paises,argentina,1966,13.578366
pwt100-apertura-comercial-paises,argentina,1967,13.345572
pwt100-apertura-comercial-paises,argentina,1968,12.013965
pwt100-apertura-comercial-paises,argentina,1969,13.073921
pwt100-apertura-comercial-paises,argentina,1970,15.460201
pwt100-apertura-comercial-paises,argentina,1971,13.533756
pwt100-apertura-comercial-paises,argentina,1972,8.309758
pwt100-apertura-comercial-paises,argentina,1973,8.100457
pwt100-apertura-comercial-paises,argentina,1974,8.911977
pwt100-apertura-comercial-paises,argentina,1975,20.989519
pwt100-apertura-comercial-paises,argentina,1976,12.823763
pwt100-apertura-comercial-paises,argentina,1977,20.848163
pwt100-apertura-comercial-paises,argentina,1978,21.006024
pwt100-apertura-comercial-paises,argentina,1979,22.694357
pwt100-apertura-comercial-paises,argentina,1980,27.199902
pwt100-apertura-comercial-paises,argentina,1981,26.021029
pwt100-apertura-comercial-paises,argentina,1982,24.482472
pwt100-apertura-comercial-paises,argentina,1983,17.930329
pwt100-apertura-comercial-paises,argentina,1984,18.645863
pwt100-apertura-comercial-paises,argentina,1985,23.447382
pwt100-apertura-comercial-paises,argentina,1986,17.945137
pwt100-apertura-comercial-paises,argentina,1987,15.983286
pwt100-apertura-comercial-paises,argentina,1988,17.017366
pwt100-apertura-comercial-paises,argentina,1989,16.588278
pwt100-apertura-comercial-paises,argentina,1990,17.172422
pwt100-apertura-comercial-paises,argentina,1991,16.052195
pwt100-apertura-comercial-paises,argentina,1992,20.259113
pwt100-apertura-comercial-paises,argentina,1993,19.298202
pwt100-apertura-comercial-paises,argentina,1994,19.957072
pwt100-apertura-comercial-paises,argentina,1995,18.384439
pwt100-apertura-comercial-paises,argentina,1996,16.660173
pwt100-apertura-comercial-paises,argentina,1997,19.890144
pwt100-apertura-comercial-paises,argentina,1998,21.380538
pwt100-apertura-comercial-paises,argentina,1999,19.411539
pwt100-apertura-comercial-paises,argentina,2000,21.571737
pwt100-apertura-comercial-paises,argentina,2001,21.462791
pwt100-apertura-comercial-paises,argentina,2002,18.798024
pwt100-apertura-comercial-paises,argentina,2003,20.435998
pwt100-apertura-comercial-paises,argentina,2004,22.803312
