serie,region,anio,valor
pwt100-pib-per-capita-mapa,ABW,1970,6773.81315
pwt100-pib-per-capita-mapa,ABW,1971,7343.305072
pwt100-pib-per-capita-mapa,ABW,1972,7957.234612
pwt100-pib-per-capita-mapa,ABW,1973,8622.059014
pwt100-pib-per-capita-mapa,ABW,1974,9366.667967
pwt100-pib-per-capita-mapa,ABW,1975,10200.223648
pwt100-pib-per-capita-mapa,ABW,1976,11137.553993
pwt100-pib-per-capita-mapa,ABW,1977,12192.603067
pwt100-pib-per-capita-mapa,ABW,1978,13357.496673
pwt100-pib-per-capita-mapa,ABW,1979,14601.114393
pwt100-pib-per-capita-mapa,ABW,1980,15901.759537
pwt100-pib-per-capita-mapa,ABW,1981,17211.819336
pwt100-pib-per-capita-mapa,ABW,1982,18541.37508
pwt100-pib-per-capita-mapa,ABW,1983,19944.757517
pwt100-pib-per-capita-mapa,ABW,1984,21528.627334
pwt100-pib-per-capita-mapa,ABW,1985,23421.466965
pwt100-pib-per-capita-mapa,ABW,1986,25702.509933
pwt100-pib-per-capita-mapa,ABW,1987,30199.884969
pwt100-pib-per-capita-mapa,ABW,1988,36328.61185
pwt100-pib-per-capita-mapa,ABW,1989,40719.573691
pwt100-pib-per-capita-mapa,ABW,1990,41436.798906
pwt100-pib-per-capita-mapa,ABW,1991,43398.540563
pwt100-pib-per-capita-mapa,ABW,1992,43152.577318
pwt100-pib-per-capita-mapa,ABW,1993,43188.939226
pwt100-pib-per-capita-mapa,ABW,1994,46127.16257
pwt100-pib-per-capita-mapa,ABW,1995,42488.851548
pwt100-pib-per-capita-mapa,ABW,1996,41209.147527
pwt100-pib-per-capita-mapa,ABW,1997,43515.48146
pwt100-pib-per-capita-mapa,ABW,1998,45743.743586
pwt100-pib-per-capita-mapa,ABW,1999,45307.817701
pwt100-pib-per-capita-mapa,ABW,2000,44369.85325
pwt100-pib-per-capita-mapa,ABW,2001,44381.563608
pwt100-pib-per-capita-mapa,ABW,2002,43179.458533
pwt100-pib-per-capita-mapa,ABW,2003,43385.593625
pwt100-pib-per-capita-mapa,ABW,2004,46071.79893
pwt100-pib-per-capita-mapa,ABW,2005,47043.600078
pwt100-pib-per-capita-mapa,ABW,2006,47095.809813
pwt100-pib-per-capita-mapa,ABW,2007,48051.728773
pwt100-pib-per-capita-mapa,ABW,2008,47224.463273
pwt100-pib-per-capita-mapa,ABW,2009,42884.478109
pwt100-pib-per-capita-mapa,ABW,2010,39468.389282
pwt100-pib-per-capita-mapa,ABW,2011,40106.824048
pwt100-pib-per-capita-mapa,ABW,2012,38358.212856
pwt100-pib-per-capita-mapa,ABW,2013,38473.219852
pwt100-pib-per-capita-mapa,ABW,2014,37638.304791
pwt100-pib-per-capita-mapa,ABW,2015,37948.577542
pwt100-pib-per-capita-mapa,ABW,2016,37698.548867
pwt100-pib-per-capita-mapa,ABW,2017,37772.24532
pwt100-pib-per-capita-mapa,ABW,2018,37106.775477
pwt100-pib-per-capita-mapa,ABW,2019,36883.771004
pwt100-pib-per-capita-mapa,AGO,1970,4918.049964
pwt100-pib-per-capita-mapa,AGO,1971,5080.045477
pwt100-pib-per-capita-mapa,AGO,1972,4928.560286
pwt100-pib-per-capita-mapa,AGO,1973,5172.68927
pwt100-pib-per-capita-mapa,AGO,1974,5119.347747
pwt100-pib-per-capita-mapa,AGO,1975,4660.61172
pwt100-pib-per-capita-mapa,AGO,1976,4262.273701
pwt100-pib-per-capita-mapa,AGO,1977,4201.694528
