serie,region,anio,valor
pwt100-pib-per-capita-paises,argentina,1950,2943.158873
pwt100-pib-per-capita-paises,argentina,1951,3017.484132
pwt100-pib-per-capita-paises,argentina,1952,2676.094333
pwt100-pib-per-capita-paises,argentina,1953,2726.111105
pwt100-pib-per-capita-paises,argentina,1954,2799.314415
pwt100-pib-per-capita-paises,argentina,1955,3002.051602
pwt100-pib-per-capita-paises,argentina,1956,3022.25266
pwt100-pib-per-capita-paises,argentina,1957,3108.172687
pwt100-pib-per-capita-paises,argentina,1958,3290.896162
pwt100-pib-per-capita-paises,argentina,1959,3068.788991
pwt100-pib-per-capita-paises,argentina,1960,3252.630494
pwt100-pib-per-capita-paises,argentina,1961,3353.9496
pwt100-pib-per-capita-paises,argentina,1962,3145.833725
pwt100-pib-per-capita-paises,argentina,1963,3073.951879
pwt100-pib-per-capita-paises,argentina,1964,3232.069949
pwt100-pib-per-capita-paises,argentina,1965,3670.726591
pwt100-pib-per-capita-paises,argentina,1966,3597.395757
pwt100-pib-per-capita-paises,argentina,1967,3705.228203
pwt100-pib-per-capita-paises,argentina,1968,3757.557377
pwt100-pib-per-capita-paises,argentina,1969,4028.091088
pwt100-pib-per-capita-paises,argentina,1970,4046.541767
pwt100-pib-per-capita-paises,argentina,1971,4166.59468
pwt100-pib-per-capita-paises,argentina,1972,4197.807749
pwt100-pib-per-capita-paises,argentina,1973,4364.246893
pwt100-pib-per-capita-paises,argentina,1974,4494.346743
pwt100-pib-per-capita-paises,argentina,1975,4375.790572
pwt100-pib-per-capita-paises,argentina,1976,4257.263954
pwt100-pib-per-capita-paises,argentina,1977,4359.62229
pwt100-pib-per-capita-paises,argentina,1978,4165.456902
pwt100-pib-per-capita-paises,argentina,1979,4479.973585
pwt100-pib-per-capita-paises,argentina,1980,4667.427274
pwt100-pib-per-capita-paises,argentina,1981,4557.073485
pwt100-pib-per-capita-paises,argentina,1982,4490.322971
pwt100-pib-per-capita-paises,argentina,1983,4827.937298
pwt100-pib-per-capita-paises,argentina,1984,5074.1883
pwt100-pib-per-capita-paises,argentina,1985,4790.894339
pwt100-pib-per-capita-paises,argentina,1986,5368.468521
pwt100-pib-per-capita-paises,argentina,1987,5679.949123
pwt100-pib-per-capita-paises,argentina,1988,5863.607322
pwt100-pib-per-capita-paises,argentina,1989,5680.045847
pwt100-pib-per-capita-paises,argentina,1990,6030.86521
pwt100-pib-per-capita-paises,argentina,1991,7142.705247
pwt100-pib-per-capita-paises,argentina,1992,8475.624257
pwt100-pib-per-capita-paises,argentina,1993,9619.198772
pwt100-pib-per-capita-paises,argentina,1994,11090.243223
pwt100-pib-per-capita-paises,argentina,1995,12161.915197
pwt100-pib-per-capita-paises,argentina,1996,15561.705369
pwt100-pib-per-capita-paises,argentina,1997,15933.874537
pwt100-pib-per-capita-paises,argentina,1998,15819.936324
pwt100-pib-per-capita-paises,argentina,1999,14667.238258
pwt100-pib-per-capita-paises,argentina,2000,14339.789181
pwt100-pib-per-capita-paises,argentina,2001,13231.21558
pwt100-pib-per-capita-paises,argentina,2002,12133.890567
pwt100-pib-per-capita-paises,argentina,2003,12648.089971
pwt100-pib-per-capita-paises,argentina,2004,13472.116017
pwt100-pib-per-capita-paises,argentina,2005,14246.833827
pwt100-pib-per-capita-paises,argentina,2006,15456.022795
pwt100-pib-per-capita-paises,argentina,2007,16913.809985
pwt100-pib-per-capita-paises,argentina,2008,17983.029197
pwt100-pib-per-capita-paises,argentina,2009,17096.163807
pwt100-pib-per-capita-paises,argentina,2010,19247.686777
pwt100-pib-per-capita-paises,argentina,2011,21399.452148
pwt100-pib-per-capita-paises,argentina,2012,21435.627137
pwt100-pib-per-capita-paises,argentina,2013,21419.858693
pwt100-pib-per-capita-paises,argentina,2014,20608.549359
pwt100-pib-per-capita-paises,argentina,2015,21238.336677
pwt100-pib-per-capita-paises,argentina,2016,20946.914692
pwt100-pib-per-capita-paises,argentina,2017,23354.458779
pwt100-pib-per-capita-paises,argentina,2018,23125.210629
pwt100-pib-per-capita-paises,argentina,2019,22144.513637
pwt100-pib-per-capita-paises,brasil,1950,1729.382508
pwt100-pib-per-capita-paises,brasil,1951,1756.297851
pwt100-pib-per-capita-paises,brasil,1952,1865.892133
pwt100-pib-per-capita-paises,brasil,1953,1863.751779
pwt100-pib-per-capita-paises,brasil,1954,1972.343507
pwt100-pib-per-capita-paises,brasil,1955,2055.727646
pwt100-pib-per-capita-paises,brasil,1956,2065.874536
pwt100-pib-per-capita-paises,brasil,1957,2180.627298
pwt100-pib-per-capita-paises,brasil,1958,2236.942071
pwt100-pib-per-capita-paises,brasil,1959,2274.706037
pwt100-pib-per-capita-paises,brasil,1960,2429.154769
pwt100-pib-per-capita-paises,brasil,1961,2660.471111
pwt100-pib-per-capita-paises,brasil,1962,2750.120053
pwt100-pib-per-capita-paises,brasil,1963,2847.978324
pwt100-pib-per-capita-paises,brasil,1964,2912.684002
pwt100-pib-per-capita-paises,brasil,1965,3028.054779
pwt100-pib-per-capita-paises,brasil,1966,3064.636147
pwt100-pib-per-capita-paises,brasil,1967,3221.990123
pwt100-pib-per-capita-paises,brasil,1968,3450.564656
pwt100-pib-per-capita-paises,brasil,1969,3429.410709
pwt100-pib-per-capita-paises,brasil,1970,3816.977119
pwt100-pib-per-capita-paises,brasil,1971,4152.635469
pwt100-pib-per-capita-paises,brasil,1972,4549.468889
pwt100-pib-per-capita-paises,brasil,1973,5084.130474
pwt100-pib-per-capita-paises,brasil,1974,5256.003327
pwt100-pib-per-capita-paises,brasil,1975,5382.592352
pwt100-pib-per-capita-paises,brasil,1976,5766.949659
pwt100-pib-per-capita-paises,brasil,1977,5823.236311
pwt100-pib-per-capita-paises,brasil,1978,5862.747483
pwt100-pib-per-capita-paises,brasil,1979,6062.923706
pwt100-pib-per-capita-paises,brasil,1980,5971.294213
pwt100-pib-per-capita-paises,brasil,1981,5908.723844
pwt100-pib-per-capita-paises,brasil,1982,5924.060676
pwt100-pib-per-capita-paises,brasil,1983,5683.172745
pwt100-pib-per-capita-paises,brasil,1984,5867.855329
pwt100-pib-per-capita-paises,brasil,1985,6047.164117
pwt100-pib-per-capita-paises,brasil,1986,6686.918673
pwt100-pib-per-capita-paises,brasil,1987,6783.058652
pwt100-pib-per-capita-paises,brasil,1988,6767.622267
pwt100-pib-per-capita-paises,brasil,1989,6691.429722
pwt100-pib-per-capita-paises,brasil,1990,6357.229937
pwt100-pib-per-capita-paises,brasil,1991,6819.049625
pwt100-pib-per-capita-paises,brasil,1992,6935.553125
pwt100-pib-per-capita-paises,brasil,1993,7340.463136
pwt100-pib-per-capita-paises,brasil,1994,8106.209519
pwt100-pib-per-capita-paises,brasil,1995,9298.787755
pwt100-pib-per-capita-paises,brasil,1996,10963.89482
pwt100-pib-per-capita-paises,brasil,1997,10490.475724
pwt100-pib-per-capita-paises,brasil,1998,9937.540216
pwt100-pib-per-capita-paises,brasil,1999,9388.711786
pwt100-pib-per-capita-paises,brasil,2000,9382.806138
pwt100-pib-per-capita-paises,brasil,2001,9199.880377
pwt100-pib-per-capita-paises,brasil,2002,9224.380369
pwt100-pib-per-capita-paises,brasil,2003,9108.922051
pwt100-pib-per-capita-paises,brasil,2004,9505.688281
pwt100-pib-per-capita-paises,brasil,2005,9609.713449
