serie,region,anio,valor
wpp2024-esperanza-de-vida-mapa,BDI,1950,40.9382
wpp2024-esperanza-de-vida-mapa,BDI,1951,41.2292
wpp2024-esperanza-de-vida-mapa,BDI,1952,41.4802
wpp2024-esperanza-de-vida-mapa,BDI,1953,41.7429
wpp2024-esperanza-de-vida-mapa,BDI,1954,41.9731
wpp2024-esperanza-de-vida-mapa,BDI,1955,42.1749
wpp2024-esperanza-de-vida-mapa,BDI,1956,42.4124
wpp2024-esperanza-de-vida-mapa,BDI,1957,42.6432
wpp2024-esperanza-de-vida-mapa,BDI,1958,42.8673
wpp2024-esperanza-de-vida-mapa,BDI,1959,43.0676
wpp2024-esperanza-de-vida-mapa,BDI,1960,43.262
wpp2024-esperanza-de-vida-mapa,BDI,1961,43.3642
wpp2024-esperanza-de-vida-mapa,BDI,1962,43.4919
wpp2024-esperanza-de-vida-mapa,BDI,1963,43.5585
wpp2024-esperanza-de-vida-mapa,BDI,1964,43.601
wpp2024-esperanza-de-vida-mapa,BDI,1965,41.8441
wpp2024-esperanza-de-vida-mapa,BDI,1966,43.5285
wpp2024-esperanza-de-vida-mapa,BDI,1967,43.3318
wpp2024-esperanza-de-vida-mapa,BDI,1968,43.4048
wpp2024-esperanza-de-vida-mapa,BDI,1969,43.0002
wpp2024-esperanza-de-vida-mapa,BDI,1970,43.2251
wpp2024-esperanza-de-vida-mapa,BDI,1971,43.1724
wpp2024-esperanza-de-vida-mapa,BDI,1972,25.7768
wpp2024-esperanza-de-vida-mapa,BDI,1973,37.4086
wpp2024-esperanza-de-vida-mapa,BDI,1974,43.3367
wpp2024-esperanza-de-vida-mapa,BDI,1975,43.4453
wpp2024-esperanza-de-vida-mapa,BDI,1976,43.6913
wpp2024-esperanza-de-vida-mapa,BDI,1977,43.9703
wpp2024-esperanza-de-vida-mapa,BDI,1978,44.4044
wpp2024-esperanza-de-vida-mapa,BDI,1979,45.0381
wpp2024-esperanza-de-vida-mapa,BDI,1980,45.7311
wpp2024-esperanza-de-vida-mapa,BDI,1981,46.4119
wpp2024-esperanza-de-vida-mapa,BDI,1982,47.0119
wpp2024-esperanza-de-vida-mapa,BDI,1983,47.4333
wpp2024-esperanza-de-vida-mapa,BDI,1984,47.6871
wpp2024-esperanza-de-vida-mapa,BDI,1985,47.6621
wpp2024-esperanza-de-vida-mapa,BDI,1986,47.4021
wpp2024-esperanza-de-vida-mapa,BDI,1987,47.0665
wpp2024-esperanza-de-vida-mapa,BDI,1988,42.8894
wpp2024-esperanza-de-vida-mapa,BDI,1989,45.7452
wpp2024-esperanza-de-vida-mapa,BDI,1990,45.184
wpp2024-esperanza-de-vida-mapa,BDI,1991,44.66
wpp2024-esperanza-de-vida-mapa,BDI,1992,44.469
wpp2024-esperanza-de-vida-mapa,BDI,1993,37.2214
wpp2024-esperanza-de-vida-mapa,BDI,1994,44.5152
wpp2024-esperanza-de-vida-mapa,BDI,1995,44.5888
wpp2024-esperanza-de-vida-mapa,BDI,1996,44.8069
wpp2024-esperanza-de-vida-mapa,BDI,1997,45.7207
wpp2024-esperanza-de-vida-mapa,BDI,1998,46.6781
wpp2024-esperanza-de-vida-mapa,BDI,1999,47.6266
wpp2024-esperanza-de-vida-mapa,BDI,2000,47.6166
wpp2024-esperanza-de-vida-mapa,BDI,2001,48.5094
wpp2024-esperanza-de-vida-mapa,BDI,2002,49.9237
wpp2024-esperanza-de-vida-mapa,BDI,2003,50.997
wpp2024-esperanza-de-vida-mapa,BDI,2004,52.2171
wpp2024-esperanza-de-vida-mapa,BDI,2005,53.0529
wpp2024-esperanza-de-vida-mapa,BDI,2006,53.962
wpp2024-esperanza-de-vida-mapa,BDI,2007,54.8317
wpp2024-esperanza-de-vida-mapa,BDI,2008,55.5813
wpp2024-esperanza-de-vida-mapa,BDI,2009,56.4215
wpp2024-esperanza-de-vida-mapa,BDI,2010,57.0883
wpp2024-esperanza-de-vida-mapa,BDI,2011,57.8039
wpp2024-esperanza-de-vida-mapa,BDI,2012,58.5008
wpp2024-esperanza-de-vida-mapa,BDI,2013,59.1786
wpp2024-esperanza-de-vida-mapa,BDI,2014,59.7644
wpp2024-esperanza-de-vida-mapa,BDI,2015,60.1068
wpp2024-esperanza-de-vida-mapa,BDI,2016,60.7887
wpp2024-esperanza-de-vida-mapa,BDI,2017,61.3452
wpp2024-esperanza-de-vida-mapa,BDI,2018,61.8065
wpp2024-esperanza-de-vida-mapa,BDI,2019,62.1801
wpp2024-esperanza-de-vida-mapa,BDI,2020,62.5694
wpp2024-esperanza-de-vida-mapa,BDI,2021,62.1013
wpp2024-esperanza-de-vida-mapa,BDI,2022,62.8819
wpp2024-esperanza-de-vida-mapa,BDI,2023,63.6511
wpp2024-esperanza-de-vida-mapa,COM,1950,37.3921
wpp2024-esperanza-de-vida-mapa,COM,1951,34.329
wpp2024-esperanza-de-vida-mapa,COM,1952,38.0401
wpp2024-esperanza-de-vida-mapa,COM,1953,38.3791
wpp2024-esperanza-de-vida-mapa,COM,1954,38.7048
wpp2024-esperanza-de-vida-mapa,COM,1955,39.0327
wpp2024-esperanza-de-vida-mapa,COM,1956,39.3666
wpp2024-esperanza-de-vida-mapa,COM,1957,39.7391
wpp2024-esperanza-de-vida-mapa,COM,1958,40.0947
wpp2024-esperanza-de-vida-mapa,COM,1959,40.4717
wpp2024-esperanza-de-vida-mapa,COM,1960,40.7774
wpp2024-esperanza-de-vida-mapa,COM,1961,41.1574
wpp2024-esperanza-de-vida-mapa,COM,1962,41.5339
wpp2024-esperanza-de-vida-mapa,COM,1963,41.9093
wpp2024-esperanza-de-vida-mapa,COM,1964,42.3277
wpp2024-esperanza-de-vida-mapa,COM,1965,42.6756
wpp2024-esperanza-de-vida-mapa,COM,1966,43.1525
wpp2024-esperanza-de-vida-mapa,COM,1967,43.5928
