serie,region,anio,valor
wpp2024-esperanza-de-vida-paises,china,1950,43.8289
wpp2024-esperanza-de-vida-paises,china,1951,44.5567
wpp2024-esperanza-de-vida-paises,china,1952,45.3416
wpp2024-esperanza-de-vida-paises,china,1953,45.9092
wpp2024-esperanza-de-vida-paises,china,1954,46.763
wpp2024-esperanza-de-vida-paises,china,1955,47.2366
wpp2024-esperanza-de-vida-paises,china,1956,47.8067
wpp2024-esperanza-de-vida-paises,china,1957,48.3776
wpp2024-esperanza-de-vida-paises,china,1958,48.8336
wpp2024-esperanza-de-vida-paises,china,1959,40.1699
wpp2024-esperanza-de-vida-paises,china,1960,33.419
wpp2024-esperanza-de-vida-paises,china,1961,40.1583
wpp2024-esperanza-de-vida-paises,china,1962,50.9594
wpp2024-esperanza-de-vida-paises,china,1963,51.6698
wpp2024-esperanza-de-vida-paises,china,1964,52.3425
wpp2024-esperanza-de-vida-paises,china,1965,53.0009
wpp2024-esperanza-de-vida-paises,china,1966,53.6624
wpp2024-esperanza-de-vida-paises,china,1967,54.4005
wpp2024-esperanza-de-vida-paises,china,1968,55.1908
wpp2024-esperanza-de-vida-paises,china,1969,55.9878
wpp2024-esperanza-de-vida-paises,china,1970,56.8241
wpp2024-esperanza-de-vida-paises,china,1971,57.7312
wpp2024-esperanza-de-vida-paises,china,1972,58.5789
wpp2024-esperanza-de-vida-paises,china,1973,59.4961
wpp2024-esperanza-de-vida-paises,china,1974,60.2408
wpp2024-esperanza-de-vida-paises,china,1975,60.952
wpp2024-esperanza-de-vida-paises,china,1976,61.225
wpp2024-esperanza-de-vida-paises,china,1977,62.458
wpp2024-esperanza-de-vida-paises,china,1978,63.1016
wpp2024-esperanza-de-vida-paises,china,1979,63.7043
wpp2024-esperanza-de-vida-paises,china,1980,64.2433
wpp2024-esperanza-de-vida-paises,china,1981,64.7779
wpp2024-esperanza-de-vida-paises,china,1982,65.2494
wpp2024-esperanza-de-vida-paises,china,1983,65.7285
wpp2024-esperanza-de-vida-paises,china,1984,66.1478
wpp2024-esperanza-de-vida-paises,china,1985,66.5319
wpp2024-esperanza-de-vida-paises,china,1986,66.8873
wpp2024-esperanza-de-vida-paises,china,1987,67.263
wpp2024-esperanza-de-vida-paises,china,1988,67.6071
wpp2024-esperanza-de-vida-paises,china,1989,67.9303
wpp2024-esperanza-de-vida-paises,china,1990,68.1547
wpp2024-esperanza-de-vida-paises,china,1991,68.6099
wpp2024-esperanza-de-vida-paises,china,1992,69.0587
wpp2024-esperanza-de-vida-paises,china,1993,69.4924
wpp2024-esperanza-de-vida-paises,china,1994,69.8355
wpp2024-esperanza-de-vida-paises,china,1995,70.3631
wpp2024-esperanza-de-vida-paises,china,1996,70.8225
wpp2024-esperanza-de-vida-paises,china,1997,71.2271
wpp2024-esperanza-de-vida-paises,china,1998,71.6014
wpp2024-esperanza-de-vida-paises,china,1999,71.9519
wpp2024-esperanza-de-vida-paises,china,2000,72.2885
wpp2024-esperanza-de-vida-paises,china,2001,72.6755
wpp2024-esperanza-de-vida-paises,china,2002,73.0339
wpp2024-esperanza-de-vida-paises,china,2003,73.3853
wpp2024-esperanza-de-vida-paises,china,2004,73.7274
wpp2024-esperanza-de-vida-paises,china,2005,74.085
wpp2024-esperanza-de-vida-paises,china,2006,74.4037
wpp2024-esperanza-de-vida-paises,china,2007,74.7886
wpp2024-esperanza-de-vida-paises,china,2008,74.8333
wpp2024-esperanza-de-vida-paises,china,2009,75.3174
wpp2024-esperanza-de-vida-paises,china,2010,75.6679
wpp2024-esperanza-de-vida-paises,china,2011,75.8891
wpp2024-esperanza-de-vida-paises,china,2012,76.2
wpp2024-esperanza-de-vida-paises,china,2013,76.4521
wpp2024-esperanza-de-vida-paises,china,2014,76.7143
wpp2024-esperanza-de-vida-paises,china,2015,76.9755
wpp2024-esperanza-de-vida-paises,china,2016,77.214
wpp2024-esperanza-de-vida-paises,china,2017,77.2353
wpp2024-esperanza-de-vida-paises,china,2018,77.709
wpp2024-esperanza-de-vida-paises,china,2019,77.9396
wpp2024-esperanza-de-vida-paises,china,2020,78.0191
wpp2024-esperanza-de-vida-paises,china,2021,78.1166
wpp2024-esperanza-de-vida-paises,china,2022,78.2021
wpp2024-esperanza-de-vida-paises,china,2023,77.9529
wpp2024-esperanza-de-vida-paises,japon,1950,59.2548
wpp2024-esperanza-de-vida-paises,japon,1951,60.9885
wpp2024-esperanza-de-vida-paises,japon,1952,62.9959
wpp2024-esperanza-de-vida-paises,japon,1953,63.3252
wpp2024-esperanza-de-vida-paises,japon,1954,64.5367
wpp2024-esperanza-de-vida-paises,japon,1955,65.7115
wpp2024-esperanza-de-vida-paises,japon,1956,65.5598
wpp2024-esperanza-de-vida-paises,japon,1957,65.4387
wpp2024-esperanza-de-vida-paises,japon,1958,67.0429
wpp2024-esperanza-de-vida-paises,japon,1959,67.4564
wpp2024-esperanza-de-vida-paises,japon,1960,67.718
wpp2024-esperanza-de-vida-paises,japon,1961,68.3705
wpp2024-esperanza-de-vida-paises,japon,1962,68.6668
wpp2024-esperanza-de-vida-paises,japon,1963,69.7463
wpp2024-esperanza-de-vida-paises,japon,1964,70.1973
wpp2024-esperanza-de-vida-paises,japon,1965,70.257
wpp2024-esperanza-de-vida-paises,japon,1966,71.0552
wpp2024-esperanza-de-vida-paises,japon,1967,71.401
wpp2024-esperanza-de-vida-paises,japon,1968,71.6718
wpp2024-esperanza-de-vida-paises,japon,1969,71.9225
wpp2024-esperanza-de-vida-paises,japon,1970,72.0073
wpp2024-esperanza-de-vida-paises,japon,1971,72.827
wpp2024-esperanza-de-vida-paises,japon,1972,73.2584
wpp2024-esperanza-de-vida-paises,japon,1973,73.4218
wpp2024-esperanza-de-vida-paises,japon,1974,73.8494
wpp2024-esperanza-de-vida-paises,japon,1975,74.3569
wpp2024-esperanza-de-vida-paises,japon,1976,74.7611
wpp2024-esperanza-de-vida-paises,japon,1977,75.3257
wpp2024-esperanza-de-vida-paises,japon,1978,75.6571
wpp2024-esperanza-de-vida-paises,japon,1979,76.1671
wpp2024-esperanza-de-vida-paises,japon,1980,76.1408
wpp2024-esperanza-de-vida-paises,japon,1981,76.5629
wpp2024-esperanza-de-vida-paises,japon,1982,77.0723
wpp2024-esperanza-de-vida-paises,japon,1983,77.1069
wpp2024-esperanza-de-vida-paises,japon,1984,77.5068
wpp2024-esperanza-de-vida-paises,japon,1985,77.799
wpp2024-esperanza-de-vida-paises,japon,1986,78.2119
wpp2024-esperanza-de-vida-paises,japon,1987,78.6307
wpp2024-esperanza-de-vida-paises,japon,1988,78.5454
wpp2024-esperanza-de-vida-paises,japon,1989,78.9799
wpp2024-esperanza-de-vida-paises,japon,1990,78.9928
wpp2024-esperanza-de-vida-paises,japon,1991,79.262
wpp2024-esperanza-de-vida-paises,japon,1992,79.303
wpp2024-esperanza-de-vida-paises,japon,1993,79.4461
wpp2024-esperanza-de-vida-paises,japon,1994,79.8366
wpp2024-esperanza-de-vida-paises,japon,1995,79.6837
wpp2024-esperanza-de-vida-paises,japon,1996,80.3627
wpp2024-esperanza-de-vida-paises,japon,1997,80.5836
wpp2024-esperanza-de-vida-paises,japon,1998,80.6487
wpp2024-esperanza-de-vida-paises,japon,1999,80.6129
wpp2024-esperanza-de-vida-paises,japon,2000,81.1788
wpp2024-esperanza-de-vida-paises,japon,2001,81.5101
wpp2024-esperanza-de-vida-paises,japon,2002,81.7952
wpp2024-esperanza-de-vida-paises,japon,2003,81.854
wpp2024-esperanza-de-vida-paises,japon,2004,82.1275
wpp2024-esperanza-de-vida-paises,japon,2005,82.0073
wpp2024-esperanza-de-vida-paises,japon,2006,82.3699
wpp2024-esperanza-de-vida-paises,japon,2007,82.5488
wpp2024-esperanza-de-vida-paises,japon,2008,82.6332
wpp2024-esperanza-de-vida-paises,japon,2009,82.9699
wpp2024-esperanza-de-vida-paises,japon,2010,82.916
wpp2024-esperanza-de-vida-paises,japon,2011,82.6705
wpp2024-esperanza-de-vida-paises,japon,2012,83.1676
wpp2024-esperanza-de-vida-paises,japon,2013,83.4018
wpp2024-esperanza-de-vida-paises,japon,2014,83.6434
wpp2024-esperanza-de-vida-paises,japon,2015,83.8832
wpp2024-esperanza-de-vida-paises,japon,2016,84.0568
wpp2024-esperanza-de-vida-paises,japon,2017,84.1891
wpp2024-esperanza-de-vida-paises,japon,2018,84.289
wpp2024-esperanza-de-vida-paises,japon,2019,84.4177
wpp2024-esperanza-de-vida-paises,japon,2020,84.6703
wpp2024-esperanza-de-vida-paises,japon,2021,84.55
wpp2024-esperanza-de-vida-paises,japon,2022,84.0541
wpp2024-esperanza-de-vida-paises,japon,2023,84.7123
wpp2024-esperanza-de-vida-paises,india,1950,41.1815
wpp2024-esperanza-de-vida-paises,india,1951,41.5954
wpp2024-esperanza-de-vida-paises,india,1952,42.0866
wpp2024-esperanza-de-vida-paises,india,1953,42.3863
wpp2024-esperanza-de-vida-paises,india,1954,43.2483
wpp2024-esperanza-de-vida-paises,india,1955,43.7399
wpp2024-esperanza-de-vida-paises,india,1956,44.133
wpp2024-esperanza-de-vida-paises,india,1957,44.4145
wpp2024-esperanza-de-vida-paises,india,1958,44.7776
wpp2024-esperanza-de-vida-paises,india,1959,45.2602
wpp2024-esperanza-de-vida-paises,india,1960,45.6104
wpp2024-esperanza-de-vida-paises,india,1961,45.8244
wpp2024-esperanza-de-vida-paises,india,1962,46.1335
wpp2024-esperanza-de-vida-paises,india,1963,46.4581
wpp2024-esperanza-de-vida-paises,india,1964,46.7418
wpp2024-esperanza-de-vida-paises,india,1965,45.5579
wpp2024-esperanza-de-vida-paises,india,1966,45.8839
wpp2024-esperanza-de-vida-paises,india,1967,46.1835
wpp2024-esperanza-de-vida-paises,india,1968,47.9249
wpp2024-esperanza-de-vida-paises,india,1969,48.2601
wpp2024-esperanza-de-vida-paises,india,1970,48.5852
wpp2024-esperanza-de-vida-paises,india,1971,48.9023
wpp2024-esperanza-de-vida-paises,india,1972,49.2126
wpp2024-esperanza-de-vida-paises,india,1973,49.6418
wpp2024-esperanza-de-vida-paises,india,1974,50.2589
wpp2024-esperanza-de-vida-paises,india,1975,50.7615
wpp2024-esperanza-de-vida-paises,india,1976,51.3019
wpp2024-esperanza-de-vida-paises,india,1977,51.8221
wpp2024-esperanza-de-vida-paises,india,1978,52.4204
wpp2024-esperanza-de-vida-paises,india,1979,53.0143
wpp2024-esperanza-de-vida-paises,india,1980,53.5928
wpp2024-esperanza-de-vida-paises,india,1981,54.1726
wpp2024-esperanza-de-vida-paises,india,1982,54.7354
wpp2024-esperanza-de-vida-paises,india,1983,55.2829
wpp2024-esperanza-de-vida-paises,india,1984,55.8125
wpp2024-esperanza-de-vida-paises,india,1985,56.3239
wpp2024-esperanza-de-vida-paises,india,1986,56.8193
wpp2024-esperanza-de-vida-paises,india,1987,57.2908
wpp2024-esperanza-de-vida-paises,india,1988,57.7443
wpp2024-esperanza-de-vida-paises,india,1989,58.1959
wpp2024-esperanza-de-vida-paises,india,1990,58.6184
wpp2024-esperanza-de-vida-paises,india,1991,59.0324
wpp2024-esperanza-de-vida-paises,india,1992,59.445
wpp2024-esperanza-de-vida-paises,india,1993,59.823
wpp2024-esperanza-de-vida-paises,india,1994,60.2372
wpp2024-esperanza-de-vida-paises,india,1995,60.6295
wpp2024-esperanza-de-vida-paises,india,1996,61.0269
wpp2024-esperanza-de-vida-paises,india,1997,61.4393
wpp2024-esperanza-de-vida-paises,india,1998,61.8525
wpp2024-esperanza-de-vida-paises,india,1999,62.2837
wpp2024-esperanza-de-vida-paises,india,2000,62.7492
wpp2024-esperanza-de-vida-paises,india,2001,63.1581
wpp2024-esperanza-de-vida-paises,india,2002,63.6486
wpp2024-esperanza-de-vida-paises,india,2003,64.0862
wpp2024-esperanza-de-vida-paises,india,2004,64.4843
wpp2024-esperanza-de-vida-paises,india,2005,64.9385
wpp2024-esperanza-de-vida-paises,india,2006,65.3726
wpp2024-esperanza-de-vida-paises,india,2007,65.8034
wpp2024-esperanza-de-vida-paises,india,2008,66.2471
wpp2024-esperanza-de-vida-paises,india,2009,66.7001
wpp2024-esperanza-de-vida-paises,india,2010,67.1616
wpp2024-esperanza-de-vida-paises,india,2011,67.6228
wpp2024-esperanza-de-vida-paises,india,2012,68.0763
wpp2024-esperanza-de-vida-paises,india,2013,68.499
wpp2024-esperanza-de-vida-paises,india,2014,68.9323
wpp2024-esperanza-de-vida-paises,india,2015,69.326
wpp2024-esperanza-de-vida-paises,india,2016,69.7091
wpp2024-esperanza-de-vida-paises,india,2017,70.0676
wpp2024-esperanza-de-vida-paises,india,2018,70.4152
wpp2024-esperanza-de-vida-paises,india,2019,70.7463
wpp2024-esperanza-de-vida-paises,india,2020,70.1563
wpp2024-esperanza-de-vida-paises,india,2021,67.2823
wpp2024-esperanza-de-vida-paises,india,2022,71.6984
wpp2024-esperanza-de-vida-paises,india,2023,72.0026
wpp2024-esperanza-de-vida-paises,reino-unido,1950,68.631
wpp2024-esperanza-de-vida-paises,reino-unido,1951,68.2386
wpp2024-esperanza-de-vida-paises,reino-unido,1952,69.5267
wpp2024-esperanza-de-vida-paises,reino-unido,1953,69.8047
wpp2024-esperanza-de-vida-paises,reino-unido,1954,70.1715
wpp2024-esperanza-de-vida-paises,reino-unido,1955,70.1344
wpp2024-esperanza-de-vida-paises,reino-unido,1956,70.4055
wpp2024-esperanza-de-vida-paises,reino-unido,1957,70.5245
wpp2024-esperanza-de-vida-paises,reino-unido,1958,70.7048
wpp2024-esperanza-de-vida-paises,reino-unido,1959,70.8276
wpp2024-esperanza-de-vida-paises,reino-unido,1960,71.0251
wpp2024-esperanza-de-vida-paises,reino-unido,1961,70.7895
wpp2024-esperanza-de-vida-paises,reino-unido,1962,70.8576
wpp2024-esperanza-de-vida-paises,reino-unido,1963,70.7609
wpp2024-esperanza-de-vida-paises,reino-unido,1964,71.5407
wpp2024-esperanza-de-vida-paises,reino-unido,1965,71.5157
wpp2024-esperanza-de-vida-paises,reino-unido,1966,71.4329
wpp2024-esperanza-de-vida-paises,reino-unido,1967,72.0706
wpp2024-esperanza-de-vida-paises,reino-unido,1968,71.6842
wpp2024-esperanza-de-vida-paises,reino-unido,1969,71.6625
wpp2024-esperanza-de-vida-paises,reino-unido,1970,71.8819
wpp2024-esperanza-de-vida-paises,reino-unido,1971,72.234
wpp2024-esperanza-de-vida-paises,reino-unido,1972,71.9882
wpp2024-esperanza-de-vida-paises,reino-unido,1973,72.1846
wpp2024-esperanza-de-vida-paises,reino-unido,1974,72.376
wpp2024-esperanza-de-vida-paises,reino-unido,1975,72.65
wpp2024-esperanza-de-vida-paises,reino-unido,1976,72.6341
wpp2024-esperanza-de-vida-paises,reino-unido,1977,73.1111
wpp2024-esperanza-de-vida-paises,reino-unido,1978,73.0429
wpp2024-esperanza-de-vida-paises,reino-unido,1979,73.1607
wpp2024-esperanza-de-vida-paises,reino-unido,1980,73.5906
