serie,region,anio,valor
wpp2024-esperanza-de-vida-regiones,mundo,1950,46.3944
wpp2024-esperanza-de-vida-regiones,mundo,1951,47.1259
wpp2024-esperanza-de-vida-regiones,mundo,1952,48.2183
wpp2024-esperanza-de-vida-regiones,mundo,1953,48.809
wpp2024-esperanza-de-vida-regiones,mundo,1954,49.6514
wpp2024-esperanza-de-vida-regiones,mundo,1955,50.2055
wpp2024-esperanza-de-vida-regiones,mundo,1956,50.7373
wpp2024-esperanza-de-vida-regiones,mundo,1957,51.0636
wpp2024-esperanza-de-vida-regiones,mundo,1958,51.6151
wpp2024-esperanza-de-vida-regiones,mundo,1959,49.5818
wpp2024-esperanza-de-vida-regiones,mundo,1960,47.8198
wpp2024-esperanza-de-vida-regiones,mundo,1961,50.3459
wpp2024-esperanza-de-vida-regiones,mundo,1962,53.2416
wpp2024-esperanza-de-vida-regiones,mundo,1963,53.7161
wpp2024-esperanza-de-vida-regiones,mundo,1964,54.2603
wpp2024-esperanza-de-vida-regiones,mundo,1965,53.9975
wpp2024-esperanza-de-vida-regiones,mundo,1966,54.5644
wpp2024-esperanza-de-vida-regiones,mundo,1967,55.0678
wpp2024-esperanza-de-vida-regiones,mundo,1968,55.6181
wpp2024-esperanza-de-vida-regiones,mundo,1969,55.9999
wpp2024-esperanza-de-vida-regiones,mundo,1970,56.2664
wpp2024-esperanza-de-vida-regiones,mundo,1971,56.0193
wpp2024-esperanza-de-vida-regiones,mundo,1972,57.2155
wpp2024-esperanza-de-vida-regiones,mundo,1973,57.6923
wpp2024-esperanza-de-vida-regiones,mundo,1974,58.0614
wpp2024-esperanza-de-vida-regiones,mundo,1975,58.2681
wpp2024-esperanza-de-vida-regiones,mundo,1976,58.5754
wpp2024-esperanza-de-vida-regiones,mundo,1977,59.1539
wpp2024-esperanza-de-vida-regiones,mundo,1978,59.5129
wpp2024-esperanza-de-vida-regiones,mundo,1979,60.1571
wpp2024-esperanza-de-vida-regiones,mundo,1980,60.502
wpp2024-esperanza-de-vida-regiones,mundo,1981,60.9187
wpp2024-esperanza-de-vida-regiones,mundo,1982,61.3435
wpp2024-esperanza-de-vida-regiones,mundo,1983,61.5211
wpp2024-esperanza-de-vida-regiones,mundo,1984,61.8663
wpp2024-esperanza-de-vida-regiones,mundo,1985,62.2092
wpp2024-esperanza-de-vida-regiones,mundo,1986,62.7297
wpp2024-esperanza-de-vida-regiones,mundo,1987,63.1809
wpp2024-esperanza-de-vida-regiones,mundo,1988,63.3672
wpp2024-esperanza-de-vida-regiones,mundo,1989,63.7817
wpp2024-esperanza-de-vida-regiones,mundo,1990,63.955
wpp2024-esperanza-de-vida-regiones,mundo,1991,64.0642
wpp2024-esperanza-de-vida-regiones,mundo,1992,64.2879
wpp2024-esperanza-de-vida-regiones,mundo,1993,64.4334
wpp2024-esperanza-de-vida-regiones,mundo,1994,64.2995
wpp2024-esperanza-de-vida-regiones,mundo,1995,64.8817
wpp2024-esperanza-de-vida-regiones,mundo,1996,65.1995
wpp2024-esperanza-de-vida-regiones,mundo,1997,65.5406
wpp2024-esperanza-de-vida-regiones,mundo,1998,65.7408
wpp2024-esperanza-de-vida-regiones,mundo,1999,66.0412
wpp2024-esperanza-de-vida-regiones,mundo,2000,66.4333
wpp2024-esperanza-de-vida-regiones,mundo,2001,66.7531
wpp2024-esperanza-de-vida-regiones,mundo,2002,67.068
wpp2024-esperanza-de-vida-regiones,mundo,2003,67.4015
wpp2024-esperanza-de-vida-regiones,mundo,2004,67.7449
wpp2024-esperanza-de-vida-regiones,mundo,2005,68.1405
wpp2024-esperanza-de-vida-regiones,mundo,2006,68.6137
wpp2024-esperanza-de-vida-regiones,mundo,2007,69.0316
wpp2024-esperanza-de-vida-regiones,mundo,2008,69.3017
wpp2024-esperanza-de-vida-regiones,mundo,2009,69.6812
wpp2024-esperanza-de-vida-regiones,mundo,2010,70.089
wpp2024-esperanza-de-vida-regiones,mundo,2011,70.4033
wpp2024-esperanza-de-vida-regiones,mundo,2012,70.824
wpp2024-esperanza-de-vida-regiones,mundo,2013,71.1417
wpp2024-esperanza-de-vida-regiones,mundo,2014,71.4038
wpp2024-esperanza-de-vida-regiones,mundo,2015,71.606
wpp2024-esperanza-de-vida-regiones,mundo,2016,71.8768
wpp2024-esperanza-de-vida-regiones,mundo,2017,72.067
wpp2024-esperanza-de-vida-regiones,mundo,2018,72.3885
wpp2024-esperanza-de-vida-regiones,mundo,2019,72.6093
